slug,event_type,r_bin_km,phi_aggregate_mean,phi_overlap_mean,n_rows,mean_n_tiles_overlap,frac_phi_overlap_zero,frac_phi_overlap_nan,time_min_hours,time_max_hours
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,40.0,1.29296531777945,1.2351901720700793,2,62.5,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,50.0,1.2156875370819815,1.215508969119762,2,148.5,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,60.0,1.1025576009938594,1.1077718407062616,2,305.0,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,70.0,1.0735392341251895,1.0759492877499512,2,349.5,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,80.0,1.0193062332461043,1.0201245004746906,2,433.0,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,90.0,1.0741074518152447,1.0714957009334076,2,398.0,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,100.0,1.1283831427639508,1.1308284155398733,2,399.0,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,110.0,1.1884709003431269,1.1980321489066963,2,422.0,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,120.0,1.1554729760814604,1.1603007445298381,2,418.5,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,130.0,1.1626273875452826,1.1677833189291826,2,577.5,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,140.0,1.1408422897589237,1.142485068865143,2,658.5,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,150.0,1.0769806194029445,1.0775946479905136,2,673.0,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,160.0,1.148161022849084,1.1519499040742316,2,736.5,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,170.0,1.0647906410915455,1.0692438679277054,2,795.5,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,180.0,1.0765108497671212,1.078802726198808,2,918.5,0.0,0.0,24.0,72.0
