ds,hours_since_quake,band,n_polygons,activity_mean
2023-04-14,1616.0,100-200km,173,0.31921104526698474
2023-04-14,1616.0,200km+,3105,0.44074242775989053
2023-04-14,1616.0,25-50km,39,0.3667083216231918
2023-04-14,1616.0,50-100km,72,0.3641875643210976
2023-04-15,1640.0,0-25km,3,0.4574702418253205
2023-04-15,1640.0,100-200km,173,0.32151342489931106
2023-04-15,1640.0,200km+,3105,0.44362041126220386
2023-04-15,1640.0,25-50km,39,0.358956144147108
2023-04-15,1640.0,50-100km,72,0.3598684294019587
2023-04-16,1664.0,0-25km,3,0.3960269264528021
2023-04-16,1664.0,100-200km,173,0.32668423312049394
2023-04-16,1664.0,200km+,3105,0.4571118959480764
2023-04-16,1664.0,25-50km,39,0.3810187468972352
2023-04-16,1664.0,50-100km,72,0.3663101247354182
2023-04-17,1688.0,0-25km,3,0.4220796890708119
2023-04-17,1688.0,100-200km,173,0.3447462543571009
2023-04-17,1688.0,200km+,3105,0.4812660875350816
2023-04-17,1688.0,25-50km,39,0.3992507051198149
2023-04-17,1688.0,50-100km,72,0.3850637148045084
2023-04-18,1712.0,0-25km,3,0.40609815351942374
2023-04-18,1712.0,100-200km,173,0.3400993192022299
2023-04-18,1712.0,200km+,3105,0.481572063735737
2023-04-18,1712.0,25-50km,39,0.406312548953028
2023-04-18,1712.0,50-100km,72,0.3858616871287982
2023-04-19,1736.0,0-25km,3,0.39999320659600146
2023-04-19,1736.0,100-200km,173,0.3397011131575756
2023-04-19,1736.0,200km+,3105,0.4818649955124477
2023-04-19,1736.0,25-50km,39,0.39524823822397154
2023-04-19,1736.0,50-100km,72,0.3827647962002779
2023-04-20,1760.0,0-25km,3,0.4394695871775746
2023-04-20,1760.0,100-200km,173,0.38039255186428306
2023-04-20,1760.0,200km+,3105,0.5296980430078342
2023-04-20,1760.0,25-50km,39,0.4481177252894439
2023-04-20,1760.0,50-100km,72,0.4287717716721522
2023-04-21,1784.0,0-25km,3,0.44215476436680845
2023-04-21,1784.0,100-200km,173,0.36387821953101207
2023-04-21,1784.0,200km+,3105,0.5134271269535244
2023-04-21,1784.0,25-50km,39,0.4257007777749115
2023-04-21,1784.0,50-100km,72,0.4191711208885899
2023-04-22,1808.0,0-25km,3,0.46390652395130094
2023-04-22,1808.0,100-200km,173,0.36601532632869294
2023-04-22,1808.0,200km+,3105,0.5235888939755455
2023-04-22,1808.0,25-50km,39,0.4195435143783092
2023-04-22,1808.0,50-100km,72,0.4215363739126641
2023-04-24,1856.0,0-25km,3,0.5288828593658872
2023-04-24,1856.0,100-200km,173,0.3439439443110834
2023-04-24,1856.0,200km+,3105,0.5070913966464434
2023-04-24,1856.0,25-50km,39,0.3690996963961932
2023-04-24,1856.0,50-100km,72,0.39884382180167843
