window_start_pt,hours_since_quake,distance_band,n_tiles,n_tiles_crisis,n_tiles_overlap,baseline_sum,crisis_sum,baseline_sum_overlap,crisis_sum_overlap,baseline_mean,crisis_mean,tile_coverage_ratio,baseline_mean_overlap,crisis_mean_overlap,tile_overlap_ratio,net_change,phi_aggregate
2023-02-20 08:00:00,352.0,0-25km,72,124,71,3456.0395544965086,5825.811954597915,3439.7746056606275,5019.3147579268425,48.000549368007064,46.982354472563834,1.7222222222222223,48.447529657191936,70.69457405530764,0.9861111111111112,2369.7724001014067,1.6856901845982042
2023-02-20 08:00:00,352.0,100-200km,1810,2463,1749,337770.2700899305,348522.6891313766,336570.3287413967,336966.390693671,186.61340888946438,141.50332486048583,1.3607734806629834,192.43586548964936,192.66231600552945,0.9662983425414364,10752.419041446119,1.0318335270850905
2023-02-20 08:00:00,352.0,200km+,23307,24058,21815,5380571.96384329,5828187.22384368,5340985.98774522,5791651.58997699,230.85647933424679,242.25568309267936,1.0322220792036727,244.83089561059913,265.48941508031123,0.9359848972411722,447615.26000039,1.083191018168385
2023-02-20 08:00:00,352.0,25-50km,396,568,391,155714.20514411392,161474.23872238563,155510.10079505763,158075.64493667654,393.2176897578634,284.2856315534958,1.4343434343434343,397.7240429541116,404.2855369224464,0.9873737373737373,5760.033578271716,1.0369910604683805
2023-02-20 08:00:00,352.0,50-100km,647,1059,630,88596.87639532665,106711.8539123513,88124.67773557434,99633.56629301545,136.9348939649562,100.76662314669623,1.6367851622874807,139.880440850118,158.14851792542134,0.973724884080371,18114.977517024658,1.204465193966818
2023-02-21 08:00:00,376.0,0-25km,71,129,70,3511.133169433011,5801.13809279667,3495.8480075249918,4919.704593375852,49.45257985116917,44.97006273485791,1.8169014084507042,49.9406858217856,70.2814941910836,0.9859154929577465,2290.004923363659,1.6522124946156505
2023-02-21 08:00:00,376.0,100-200km,1807,2482,1739,337844.7010191007,336830.5911638865,336189.3128540762,324167.3602976162,186.96441672335402,135.7093437404861,1.373547315993359,193.32335414265452,186.4102129370996,0.9623685666851135,-1014.1098552142503,0.9969982958082361
2023-02-21 08:00:00,376.0,200km+,23356,24111,21878,5371579.054383331,5764010.545613997,5333565.841623161,5729893.49333841,229.98711484771925,239.0614468754509,1.0323257407090256,243.78671915271784,261.90207026869047,0.9367186162014044,392431.4912306657,1.0730570074939942
2023-02-21 08:00:00,376.0,25-50km,403,555,393,155886.6129699721,156239.6363432779,155467.6644253583,153438.06224383076,386.8154167989382,281.5128582761764,1.3771712158808933,395.5920214385707,390.4276392972793,0.9751861042183623,353.0233733057976,1.0022646163553108
2023-02-21 08:00:00,376.0,50-100km,654,1054,634,88860.14262405192,101830.40408950706,88216.26899085686,94812.72259943884,135.87177771261761,96.61328661243554,1.6116207951070336,139.1423801117616,149.5468810716701,0.9694189602446484,12970.261465455143,1.1459626451459741
2023-02-22 08:00:00,400.0,0-25km,73,118,72,3529.2659345399893,5638.357216717989,3517.8422424274154,4937.397347790458,48.34610869232862,47.78268827727109,1.6164383561643836,48.8589200337141,68.57496316375637,0.9863013698630136,2109.091282178,1.5976005552703987
2023-02-22 08:00:00,400.0,100-200km,1815,2478,1749,337252.8951816594,339016.4458447203,335943.2128828183,326652.2286929625,185.81426731771867,136.81051083322046,1.3652892561983472,192.07730868085667,186.76513933274015,0.9636363636363636,1763.5506630609161,1.005229163895275
2023-02-22 08:00:00,400.0,200km+,23299,24117,21841,5359994.721469584,5721212.5711387545,5320128.730534859,5685199.7633679835,230.05256540922719,237.22737368407158,1.0351088029529165,243.58448470925595,260.2994260046694,0.9374222069616722,361217.84966917057,1.0673914562307878
2023-02-22 08:00:00,400.0,25-50km,400,544,389,155413.76809374266,158065.2421895546,155026.7898299829,154902.2774252943,388.5344202343567,290.56110696609306,1.36,398.52645200509744,398.20636870255606,0.9725,2651.474095811951,1.0170607413251356
2023-02-22 08:00:00,400.0,50-100km,661,1056,640,88537.36118599074,102009.90570911992,88094.30253628708,95170.420693944,133.94457062933546,96.60028949727266,1.5975794251134645,137.64734771294857,148.7037823342875,0.9682299546142209,13472.544523129181,1.1521679022579785
2023-02-23 08:00:00,424.0,0-25km,71,128,70,3541.549417348708,5567.23215784504,3516.6841511018024,4757.566956105871,49.88097770913674,43.494001233164376,1.8028169014084507,50.23834501574004,67.96524223008387,0.9859154929577465,2025.682740496332,1.5719764153433184
2023-02-23 08:00:00,424.0,100-200km,1844,2475,1788,343986.1719110594,345674.5626828692,342690.53256655514,333912.90328557225,186.5434771751949,139.66648997287643,1.3421908893709327,191.66137168151855,186.75218304562208,0.9696312364425163,1688.3907718097907,1.0049083100126663
