slug,r_bin_km,hours_since_peak,delta,n_tiles
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,30.0,48.0,0.012843418116400773,29.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,40.0,48.0,-0.04311156166327845,36.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,50.0,48.0,0.01901168904278161,60.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,60.0,48.0,-0.03403746709272715,58.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,70.0,48.0,-0.049641742223110574,55.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,80.0,48.0,-0.0413528603355684,50.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,90.0,48.0,-0.022972313908608766,111.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,100.0,48.0,0.053340596173047095,101.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,110.0,48.0,0.023128488123172808,98.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,120.0,48.0,-0.049517983469143156,73.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,130.0,48.0,-0.16671896770702466,46.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,140.0,48.0,-0.032526471791559985,43.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,150.0,48.0,0.013765491367712102,53.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,160.0,48.0,0.020052699153366493,65.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,170.0,48.0,-0.006848189046584796,83.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,180.0,48.0,-0.025043173945099584,62.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,190.0,48.0,-0.02732351517168663,97.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,200.0,48.0,-0.033007066304167165,127.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,0.0,72.0,-0.1532497351807095,30.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,10.0,72.0,-0.05823050054161982,42.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,20.0,72.0,-0.08873920370806643,33.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,30.0,72.0,0.004691212443258985,33.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,40.0,72.0,-0.03738516600565722,42.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,50.0,72.0,0.02403062886817464,64.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,60.0,72.0,-0.022527769254035435,65.0
