datetime,source,root,category,key,path,mtime,has_log,has_tables,has_figures
2026-02-23 14:08:02,anchor_file_mtime,outputs,cross_disaster,geo_unit_scale_main_current_h0816_20260223_L10_excl_mexico,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/geo_unit_scale_main_current_h0816_20260223_L10_excl_mexico,2026-02-23 14:08:02,1,1,0
2026-02-23 14:09:23,anchor_file_mtime,outputs,cross_disaster,geo_unit_scale_expanded_current_static_h0816_20260223_L10,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/geo_unit_scale_expanded_current_static_h0816_20260223_L10,2026-02-23 14:09:23,1,1,0
2026-02-23 17:15:36,dir_mtime,outputs,cross_disaster,routeB16_postgate_config_main_20260223_expected14,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/routeB16_postgate_config_main_20260223_expected14,2026-02-23 17:15:36,0,0,0
2026-02-23 17:25:00,name_timestamp,outputs,run_batch,routeB16_partner_opinion_main,/mnt/e/newdesktop/Disaster/outputs/_runs/routeB16_partner_opinion_main_20260223_1725,2026-02-23 17:27:00,0,0,0
2026-02-23 17:25:00,name_timestamp,outputs,cross_disaster,Dt_decay_routeB16_partner_opinion_main,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_routeB16_partner_opinion_main_20260223_1725,2026-02-23 17:27:42,1,1,1
2026-02-23 17:25:00,name_timestamp,outputs,cross_disaster,geo_unit_scale_routeB16_partner_opinion_L10,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/geo_unit_scale_routeB16_partner_opinion_L10_20260223_1725,2026-02-23 17:29:22,1,1,0
2026-02-23 17:25:00,name_timestamp,outputs,cross_disaster,geo_unit_scale_routeB16_partner_opinion_L8,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/geo_unit_scale_routeB16_partner_opinion_L8_20260223_1725,2026-02-23 17:30:22,1,1,0
2026-02-23 17:25:00,name_timestamp,outputs,cross_disaster,partner_opinion_checklist,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/partner_opinion_checklist_20260223_1725,2026-02-23 17:31:33,0,0,0
2026-02-23 17:25:00,name_timestamp,outputs,cross_disaster,routeB16_postgate_partner_opinion,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/routeB16_postgate_partner_opinion_20260223_1725,2026-02-23 17:31:45,0,0,0
2026-02-23 17:25:00,name_timestamp,outputs,cross_disaster,sensitivity_near_r_rmax_partner,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/sensitivity_near_r_rmax_partner_20260223_1725,2026-02-23 17:45:53,0,0,0
2026-02-23 22:39:20,name_timestamp,outputs,cross_disaster,Dt_decay_routeA_open,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_routeA_open_20260223_223920,2026-02-23 22:39:44,1,1,1
2026-02-23 22:58:21,name_timestamp,outputs,cross_disaster,geo_unit_scale_routeB16_groundtruth_L10,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/geo_unit_scale_routeB16_groundtruth_L10_20260223_225821,2026-02-23 22:59:13,1,1,0
